Project,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
bfs,72.47,72.45,73.02,73.62,71.06,70.16,72.43,73.09,70.46,65.91,69.41
binheap,0,0,0,0,94.85,94.85,90.72,85.57,85.57,88.32,0
bst1,0,0,0,0,0,88.73,88.73,85.21,86.85,84.51,88.73
bst2,80.37,79.22,78.69,78.43,79.28,80.31,77.42,78.61,80.93,77.64,71.57
combinations,99.75,98.86,98.76,98.21,97.68,98.12,97.56,95.8,97.55,95.15,96.7
complement,92.31,93.71,93.54,92.82,95.3,95.61,96.15,97.44,98.46,96.92,97.74
convert-base,0,92.86,92.86,88.09,81.55,91.67,89.05,71.43,82.65,74.61,80.16
deque,92.11,92.11,92.11,92.11,92.11,92.11,92.11,92.11,69.74,91.45,92.11
dfs,80.23,79.92,80.49,79.05,77.93,79.85,79.18,80.11,80,77,77.22
dijkstras,0,0,0,0,0,92.5,92.5,92.5,90,95,86.67
dll,77.14,79.36,76.26,77.88,74.44,78.39,76.7,79.36,72.71,74.84,77.06
Edit-distance,0,0,0,0,0,0,0,0,0,0,0
factorial,100,100,100,100,100,100,100,100,100,100,100
fenwick,0,98.41,96.83,98.41,98.41,98.41,98.41,98.41,0,0,98.41
fibonacci,94.67,93.5,94,94.17,94.5,93.83,94.33,93.93,93.62,93.57,94.11
find-duplicates,86.36,86.36,86.36,86.36,86.36,86.28,86.76,86.9,86.57,86.9,87.8
first-missing-positive,92.93,92.93,92.8,91.87,92.4,92.27,91.17,91.47,91.47,91.72,89.73
fizz-buzz,100,100,100,100,100,100,100,100,100,100,100
graph1,76.06,74.34,72.66,72.15,70.99,78.48,73.51,74.53,71.35,75.21,78.9
graph2,0,0,63.16,70.18,70.18,68.43,69.74,63.16,76.49,75,61.99
hamming,87.5,87.5,88.16,88.12,90.34,91.67,89.77,92.93,94.84,95.72,94.06
hashmap,89.18,89.48,88.35,89.48,87.58,89.27,84.75,80.14,76.32,83.17,82.55
heap,75.66,77.3,80.82,80.85,82.96,79.69,82.38,81.8,83.27,84.87,81.51
heapsort,0,0,0,0,80,80,80,79.75,79.58,79.69,79.62
linked-list1,77.5,77.5,77.5,76.74,77.39,77.5,77.97,78.75,79.33,80.94,80.67
linked-list2,85.42,87.21,90.28,88.02,86.46,87.65,88.06,89.39,87.64,88.96,87.67
long-comm,93.48,93.45,93.45,93.81,94.21,93.57,92.98,93.34,92.86,93.24,91.75
lru-cache,84.05,84.86,86.06,85.93,86.37,87.78,86.3,86.88,87.17,85.93,87.08
mergesort,97.22,97.22,97.22,97.22,97.22,97.22,97.22,97.22,97.22,97.22,97.22
naive-tree,0,0,0,0,0,0,84.41,0,83.87,83.87,83.87
perm-word,93.75,93.75,93.75,92.5,93.75,93.75,91.41,90.62,92.71,92.5,92.97
priority-queue1,0,0,0,86.79,86.79,87.42,86.79,86.79,85.38,87.26,86.79
priority-queue2,87.36,87.5,86.7,85.94,85.87,85.78,85.32,85.52,86,85.54,86.76
queue,87.1,86.96,87.54,87.73,88.13,88.8,88.08,87.28,87.5,88.13,87.65
quicksort,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.1,91.13,91.08
rabin-karp,94.64,94.64,95.23,94.64,95.53,95.09,95.09,95.24,94.64,94.82,94.77
radixsort,0,0,0,0,0,0,93.55,0,0,93.55,0
stack,0,0,91.67,91.67,0,0,91.67,91.67,91.67,91.67,91.67
trie,0,0,0,0,0,98.21,98.21,91.07,96.43,92.85,95.24
word-squares,0,0,0,0,0,0,82.61,0,0,86.96,0
average,57.21,62.07,65.99,68.1,70.02,77.62,85.86,78.48,78.05,83.04,78.53
devpad,43.01,41.68,39.36,37.86,36.32,30.68,15.94,27.74,27.57,20.84,27.82
