project,filename,mutants,killed_output,killed_timeout,total_killed,survived,mutation score
bfs,breadth_first_search,180,74,0,74,106,41.11
binheap,binheap,171,163,5,168,3,98.25
bst1,binary_search_tree,34,30,0,30,4,88.24
bst2,bst2,182,141,0,141,41,77.47
combinations,combinations,58,28,0,28,30,48.28
complement,complement,27,11,16,27,0,100.00
convert-base,convert_base,125,118,0,118,7,94.40
deque,deque,2,2,0,2,0,100.00
dfs,depth_first_search,166,101,0,101,65,60.84
dijkstras,dijkstras,35,0,0,0,35,0.00
dll,dll,111,97,0,97,14,87.39
edit-distance,edit_distance,500,287,17,304,196,60.80
factorial,factorial,36,36,0,36,0,100.00
fenwick,fenwick_tree,142,121,16,137,5,96.48
fibonacci,fibonacci,88,50,0,50,38,56.82
find-duplicates,find_duplicates,62,25,2,27,35,43.55
first-missing-positive,first_missing_positive,84,60,10,70,14,83.33
fizz-buzz,fizz_buzz,69,12,0,12,57,17.39
graph1,graph1,98,88,0,88,10,89.80
graph2,graph2,3,2,0,2,1,66.67
hamming,hamming_ops,29,15,14,29,0,100.00
hashmap,hash_map,173,157,11,168,5,97.11
heap,heap,321,205,77,282,39,87.85
heapsort,heapsort,84,56,0,56,28,66.67
linked-list1,linked_list1,44,32,2,34,10,77.27
linked-list2,linked_list2,72,61,0,61,11,84.72
long-comm,longest_common_prefix,30,25,0,25,5,83.33
lru-cache,lru_cache,26,26,0,26,0,100.00
mergesort,mergesort,50,28,0,28,22,56.00
naive-tree,naive_tree,29,25,0,25,4,86.21
perm-word,permutations,40,34,1,35,5,87.50
priority-queue1,priority_queue1,40,16,0,16,24,40.00
priority-queue2,priority_queue2,13,8,0,8,5,61.54
queue,a_queue,1,1,0,1,0,100.00
quicksort,quicksort,60,36,0,36,24,60.00
rabin-karp,rabin_karp_substring_search,266,137,4,141,125,53.01
radixsort,radixsort,63,29,9,38,25,60.32
stack,stack,0,0,0,0,0,0.00
trie,trie,29,12,0,12,17,41.38
word-squares,word_squares,24,19,0,19,5,79.17
